角色名称,姓氏,名字,配音,出自哪部作品,剧本制作,性别,出生日期,身高,三围
桧月彩花,桧月,彩花,山本麻里安,秋之回忆1,打越钢太郎，柴田太郎,女,1983-12-7,156cm,B74/W55/H77
今坂唯笑,今坂,唯笑,那须惠,秋之回忆1,打越钢太郎,女,1983-7-12,156cm,B73/W53/H74
音羽香,音羽,香,田村由加莉,秋之回忆1,高瀬伸,女,1984-3-20,159cm,B81/W57/H85
双海诗音,双海,诗音,利田优子,秋之回忆1,日暮茶坊,女,1984-2-3,157cm,B79/W54/H80
伊吹美奈裳,伊吹,美奈裳,河合久美,秋之回忆1,佐佐木智宏,女,1985-1-20,147cm,B71/W53/H74
雾岛小夜美,雾岛,小夜美,浅野琉璃,秋之回忆1,安部理一郎,女,1980-5-10,164cm,B85/W62/H84
三上智也,三上,智也,绿川光,秋之回忆1,没有信息,男,1983-6-16,177cm,没有信息
稻穗信,稻穗,信,间岛淳司,秋之回忆1,没有信息,男,1984-1-4,175cm,没有信息
白河萤,白河,萤,水树奈奈,秋之回忆2,打越钢太郎,女,1983-9-25,158cm,B80/W58/H86
南燕,南,燕,池泽春菜,秋之回忆2,中泽工、笹成稀多郎,女,1978-5-30,162cm,B79/W57/H84
飞世巴,飞世,巴,仲西环,秋之回忆2,三浦洋晃,女,1983-8-17,165cm,B83/W59/H83
寿寿奈鹰乃,寿寿奈,鹰乃,千叶纱子,秋之回忆2,日暮茶坊,女,1983-9-3,168cm,B86/W59/H85
白河静流,白河,静流,菊池志穗,秋之回忆2,馆山绿,女,1980-6-30,160cm,B87/W60/H88
相摩希,相摩,希,南里侑香,秋之回忆2,佐佐木智宏、西川真音,女,1984-4-13,153cm,B76/W56/H82
相摩望,相摩,望,南里侑香,秋之回忆2,佐佐木智宏、西川真音,女,1984-4-13,153cm,B77/W56/H82
舞方香菜,舞方,香菜,松来未祐,秋之回忆2,没有信息,女,1986-3-6,155cm,没有信息
中森翔太,中森,翔太,福山润,秋之回忆2,没有信息,男,1983-9-10,没有信息,没有信息
伊波健,伊波,健,小尾元政,秋之回忆2,没有信息,男,1983-11-4,没有信息,没有信息
黑须彼方,黑须,彼方,福井裕佳梨、村田あゆみ,秋之回忆3,绿犬ふう,女,1983-10-28,164cm,没有信息
荷岛音绪,荷岛,音绪,清水爱,秋之回忆3,绿犬ふう,女,1985-4-3,158cm,没有信息
荷岛深步,荷岛,深步,白鸟由里,秋之回忆3,绿犬ふう,女,1986-5-19,154cm,没有信息
儿玉响,儿玉,响,浅野真澄,秋之回忆3,绿犬ふう,女,1985-8-13,158cm,没有信息
鸣海沙子,鸣海,沙子,川澄绫子,秋之回忆3,绿犬ふう,女,1983-10-24,163cm,没有信息
百濑环,百濑,环,泽城美雪,秋之回忆3,绿犬ふう,女,1986-2-5,156cm,没有信息
北原那由多,北原,那由多,高桥美佳子,秋之回忆3,绿犬ふう,女,1984-3-15,160cm,没有信息
鹭泽一蹴,鹭泽,一蹴,小野大辅,秋之回忆4,没有信息,男,31373,没有信息,没有信息
陵祈,陵,祈,小林沙苗,秋之回忆4,林直孝,女,1985-8-21,160cm,没有信息
鹭泽缘,鹭泽,缘,成田纱矢香,秋之回忆4,松川しゅうさく,女,1987-3-2,154cm,没有信息
藤原雅,藤原,雅,嘉数由美,秋之回忆4,松川しゅうさく,女,1985-4-6,163cm,没有信息
花祭果凛,花祭,果凛,榎本温子,秋之回忆4,林直孝,女,1983-7-13,168cm,没有信息
野乃原叶夜,野乃原,叶夜,古山贵实子,秋之回忆4,林直孝,女,1983-5-4,156cm,没有信息
木濑步,木濑,步,白石凉子,秋之回忆4,没有信息,女,1985-4-4,165cm,没有信息
力丸纱代里,力丸,纱代里,小林由美子,秋之回忆4,没有信息,女,1987-1-1,156cm,没有信息
河合春人,河合,春人,森久保祥太郎,秋之回忆5,没有信息,男,1984-4-7,175cm,没有信息
日名雄介,日名,雄介,樱井孝宏,秋之回忆5,没有信息,男,1985-3-9,180cm,没有信息
日名明日香,日名,明日香,野川樱,秋之回忆5,林直孝,女,1986-8-31,158cm,B81/W56/H82
仙堂麻寻,仙堂,麻寻,井上奈奈,秋之回忆5,林直孝,女,1984-12-19,160cm,B86/W58/H86
观岛香月,观岛,香月,桑谷夏子,秋之回忆5,鲸晴久，松川しゅうさく,女,1984-11-29,161cm,B80/W56/H83
早蕨美海,早蕨,美海,名冢佳织,秋之回忆5,鲸晴久、松川しゅうさく,女,1986-6-6,没有信息,B77/W54/H81
雨宫瑞穗,雨宫,瑞穗,佐久间玲,秋之回忆5,若林健,女,1979-6-30,164cm,B90/W58/H86
小津修司,小津,修司,岸尾大辅,秋之回忆5,没有信息,男,1984-12-12,164cm,没有信息
远峰莉莉丝,远峰,莉莉丝,新名彩乃,秋之回忆6,没有信息,女,1988-8-10,152cm,B80/W54/H81
箱崎智纱,箱崎,智纱,平野绫,秋之回忆6,没有信息,女,1988-12-23,159cm,B83/W59/H85
嘉神川克罗艾,嘉神川,克罗艾,后藤邑子,秋之回忆6,没有信息,女,1987-7-2,167cm,B87/W58/H87
铃代黎音,铃代,黎音,田中理惠,秋之回忆6,没有信息,女,1981-1-3,172cm,B88/W59/H86
春日结乃,春日,结乃,宫崎羽衣,秋之回忆6,没有信息,女,1990-2-28,157cm,B80/W56/H83
冢本志雄,冢本,志雄,藤原佑规,秋之回忆6,没有信息,男,1988-10-8,170cm,没有信息
佐贺亨,佐贺,亨,根本幸多,秋之回忆6,没有信息,男,1988-6-29,171cm,没有信息
秋津神奈,秋津,神奈,沟口小百合,秋之回忆6,没有信息,女,没有信息,没有信息,没有信息
芹泽直树,芹泽,直树,冈本信彦,秋之回忆7,没有信息,男,1990/,178cm,没有信息
天川千夏,天川,千夏,鹿野优以,秋之回忆7,没有信息,女,1990-7-19,152cm,没有信息
南云霞,南云,霞,小林优,秋之回忆7,没有信息,女,1990-9-30,163cm,没有信息
星月织姬,星月,织姬,野中蓝,秋之回忆7,没有信息,女,1982-7-8,145cm,没有信息
鼓堂诗名,鼓堂,诗名,早见沙织,秋之回忆7,没有信息,女,1991-12-1,160cm,没有信息
丽莎·凯西·福斯特,福斯特,丽莎,酒井香奈子,秋之回忆7,没有信息,女,1990-10-30,171cm,没有信息
嘉神川诺艾尔,嘉神川,诺艾尔,千本木彩花,秋之回忆8,没有信息,女,1994-11-24,157cm,B79/W55/H82
三城柚莉,三城,柚莉,武石あゆ実,秋之回忆8,没有信息,女,1992-9-6,164cm,B85/W58/H85
三城琴莉,三城,琴莉,本渡楓,秋之回忆8,没有信息,女,1992-9-6,没有信息,没有信息
三城莉一,三城,莉一,鈴木裕斗,秋之回忆8,没有信息,男,1992-9-6,没有信息,没有信息
志摩寿奈樱,志摩,寿奈樱,德井青空,秋之回忆8,没有信息,女,1993-8-1,159cm,B87/W57/H86
楠濑累,楠濑,累,坂泰斗,秋之回忆8,没有信息,男,1992-4-10,没有信息,没有信息
日紫喜瑞羽,日紫喜,瑞羽,矢作紗友里,秋之回忆8,没有信息,女,1992-12-3,160cm,B81/W56/H83
